1563392306,1,LSM9DS1,9.47,-1.57,-1.57,-4.59,4.59,4.59,-2.39,0.52,0.86
1563392306,2,LSM9DS1,-3.87,-4.76,-4.76,-0.06,0.55,0.21,-6.84,0.99,1.65
1563392306,3,MPU9250,0.76,0.11,-0.52,33.91,102.05,50.22,-3.54,5.25,0.92
1563392316,4,MPU9250,0.75,-0.57,-0.14,14.30,96.50,-16.08,-202.45,-74.89,-9
1563392316,5,MPU9250,-0.08,0.98,-0.15,84.87,65.31,-12.63,4.03,-0.92,0.98
1563392316,1,LSM9DS1,9.45,-1.59,-1.59,-4.59,4.59,4.59,-2.48,0.50,0.91
1563392316,2,LSM9DS1,-3.24,-4.15,-4.15,-0.09,0.44,0.23,0.01,1.51,5.67
1563392316,3,MPU9250,0.76,-0.06,-0.56,4.84,98.40,59.57,-4.76,7.69,-4.52
1563392326,4,MPU9250,-0.02,0.30,-0.76,20.25,73.87,-6.89,-9.52,-31.19,4.94
1563392326,5,MPU9250,-0.13,0.95,-0.17,87.26,64.13,-11.48,1.28,-2.50,4.82
1563392326,1,LSM9DS1,9.42,-1.59,-1.59,-4.59,4.59,4.59,-2.13,0.24,0.81
1563392326,2,LSM9DS1,-2.62,-5.44,-5.44,-0.06,0.49,0.22,-12.77,-10.93,-2.32
1563392326,3,MPU9250,0.89,0.10,-0.34,16.95,111.77,51.39,4.15,-11.54,-5.62
1563392336,4,MPU9250,0.36,0.89,-0.02,101.27,75.06,-33.30,-3.11,-4.52,1.40
1563392336,5,MPU9250,-0.13,0.98,-0.14,87.26,62.94,-12.63,5.49,2.01,-3.36
1563392336,1,LSM9DS1,9.44,-1.60,-1.60,-4.59,4.59,4.59,-2.18,0.48,0.86
1563392336,2,LSM9DS1,-2.93,-3.97,-3.97,-0.06,0.42,0.23,-18.92,1.55,3.33
1563392336,3,MPU9250,0.95,0.09,-0.22,19.38,120.27,37.38,-4.82,18.01,4.09
1563392346,4,MPU9250,0.48,0.88,0.12,100.08,95.31,-44.79,0.06,0.55,0.79
1563392346,5,MPU9250,-0.06,1.06,-0.04,84.87,66.50,-12.63,3.05,-17.76,-5.25
1563392346,1,LSM9DS1,9.46,-1.58,-1.58,-4.59,4.59,4.59,-2.03,1.09,0.88
1563392346,2,LSM9DS1,-3.43,-4.88,-4.88,-0.05,0.53,0.20,-2.40,-1.05,1.41
1563392346,3,MPU9250,0.87,0.15,-0.34,27.85,112.98,50.22,0.06,6.10,0.92
1563392356,4,MPU9250,0.46,0.89,0.10,102.46,92.93,-43.64,2.08,-1.71,3.05
1563392356,5,MPU9250,0.11,1.17,-0.06,86.06,76.00,-26.41,12.51,-53.16,-67.14
1563392356,1,LSM9DS1,9.43,-1.65,-1.65,-4.59,4.59,4.59,-2.42,0.51,0.63
1563392356,2,LSM9DS1,-3.04,-5.07,-5.07,-0.04,0.54,0.21,-3.91,-0.32,1.89
1563392356,3,MPU9250,0.83,0.17,-0.40,30.27,108.12,52.56,0.49,4.33,-1.28
1563392367,4,MPU9250,0.52,0.85,0.14,106.04,90.55,-51.68,2.44,0.85,2.14
1563392367,5,MPU9250,0.12,0.83,-0.51,59.77,74.81,8.04,48.83,-51.51,-26.86
1563392367,1,LSM9DS1,9.44,-1.63,-1.63,-4.59,4.59,4.59,-2.94,0.44,0.70
1563392367,2,LSM9DS1,-3.41,-4.99,-4.99,-0.02,0.57,0.20,-5.50,-2.58,-0.57
1563392367,3,MPU9250,0.88,0.11,-0.34,36.33,115.41,38.54,-3.85,4.03,0.12
1563392377,4,MPU9250,0.46,0.87,0.20,103.65,90.55,-51.68,0.12,-5.62,-1.22
1563392377,5,MPU9250,-0.53,0.30,0.49,96.82,14.25,-53.98,138.18,106.99,67.02
1563392377,1,LSM9DS1,9.51,-1.67,-1.67,-4.59,4.59,4.59,-4.60,-0.06,-0.10
1563392377,2,LSM9DS1,-1.97,-6.87,-6.87,-0.00,0.59,0.18,-1.96,11.19,13.81
1563392377,3,MPU9250,0.93,0.18,-0.16,30.27,121.48,38.54,-8.91,9.03,2.99
1563392387,4,MPU9250,0.48,0.88,0.21,103.65,95.31,-51.68,6.23,1.83,1.59
1563392387,5,MPU9250,0.63,-0.76,-0.08,-40.64,51.06,-40.20,3.48,-0.73,0.06
1563392387,1,LSM9DS1,9.47,-1.57,-1.57,-4.59,4.59,4.59,-2.20,0.74,0.91
1563392387,2,LSM9DS1,-2.54,-5.55,-5.55,-0.06,0.50,0.22,-5.78,-5.18,-0.56
1563392387,3,MPU9250,0.88,0.18,-0.28,21.80,115.41,49.05,3.30,-1.83,-1.59
1563392397,4,MPU9250,0.46,0.88,0.21,106.04,97.70,-50.53,1.59,-0.79,1.46
1563392397,5,MPU9250,0.99,-0.13,0.12,-11.95,100.94,-45.94,-26.79,-6.29,32.35
1563392397,1,LSM9DS1,9.45,-1.57,-1.57,-4.59,4.59,4.59,-2.61,0.46,0.67
1563392397,2,LSM9DS1,-2.92,-5.33,-5.33,-0.05,0.53,0.22,-4.01,1.08,0.32
1563392397,3,MPU9250,0.89,0.15,-0.29,25.43,112.98,50.22,-1.77,2.08,-0.24
1563392407,4,MPU9250,0.59,0.79,0.06,100.08,101.27,-41.34,1.95,2.14,1.77
1563392407,5,MPU9250,0.08,-1.10,0.03,-32.27,58.19,-26.41,-15.87,-30.82,41.81
1563392407,1,LSM9DS1,9.43,-1.57,-1.57,-4.59,4.59,4.59,-2.19,0.24,0.82
1563392407,2,LSM9DS1,-3.55,-3.91,-3.91,-0.08,0.45,0.24,-0.82,3.26,0.06
1563392407,3,MPU9250,0.84,-0.14,-0.44,4.84,108.12,53.73,-5.55,-0.24,-3.72
1563392417,4,MPU9250,0.54,0.83,0.16,102.46,97.70,-49.38,2.62,-2.44,-1.40
1563392417,5,MPU9250,0.05,-0.99,0.43,-46.62,36.81,-47.09,-3.97,-20.08,5.62
1563392417,1,LSM9DS1,9.45,-1.58,-1.58,-4.59,4.59,4.59,-2.37,0.39,0.93
1563392417,2,LSM9DS1,-3.28,-4.17,-4.17,-0.08,0.47,0.23,-6.59,1.12,1.25
1563392417,3,MPU9250,0.84,-0.08,-0.43,10.90,111.77,54.89,-1.83,1.04,1.28
1563392427,4,MPU9250,0.54,0.84,0.04,98.89,97.70,-40.20,4.27,-4.09,7.69
1563392427,5,MPU9250,0.28,-0.92,-0.29,-19.13,76.00,4.59,1.89,-2.32,1.65
1563392427,1,LSM9DS1,9.46,-1.59,-1.59,-4.59,4.59,4.59,-2.56,0.42,0.93
1563392427,2,LSM9DS1,-3.04,-4.43,-4.43,-0.09,0.45,0.22,-5.44,-2.13,4.03
1563392427,3,MPU9250,0.89,-0.07,-0.31,12.11,117.84,43.21,1.53,-1.34,4.58
1563392437,4,MPU9250,0.53,0.85,0.10,97.70,100.08,-40.20,6.77,-4.09,1.77
1563392437,5,MPU9250,0.27,-0.97,-0.08,-27.49,79.56,-14.93,-1.77,-1.40,1.89
